ownership,Name,TC_E_A,TC_P_A,Total_Neighborhood_TC_P_A,Total_Neighborhood_TC_Land_A,percentage_of_land_suitable_for_canopy,percentage_of_entire_neighborhood_suitable_for_canopy
city owned,Dorchester,16544915,15297452,82525985,186732008,8.19,44.19
non-city owned,Dorchester,33749109,67228533,82525985,186732008,36.0,44.19
non-city owned,East Boston,7084978,55788521,58959491,118721750,46.99,49.66
city owned,East Boston,922385,3170970,58959491,118721750,2.67,49.66
non-city owned,West Roxbury,47641814,46631150,52856180,124815114,37.36,42.35
city owned,West Roxbury,5069360,6225030,52856180,124815114,4.99,42.35
city owned,Hyde Park,7107050,7484131,42206419,114986185,6.51,36.71
non-city owned,Hyde Park,46326215,34722288,42206419,114986185,30.2,36.71
city owned,Allston-Brighton,2211867,3590531,41874906,99302398,3.62,42.17
non-city owned,Allston-Brighton,21810063,38284375,41874906,99302398,38.55,42.17
non-city owned,South Boston,4337152,28957221,37555947,74990356,38.61,50.08
city owned,South Boston,1508390,8598726,37555947,74990356,11.47,50.08
non-city owned,Jamaica Plain,31045421,24828038,30045605,89451800,27.76,33.59
city owned,Jamaica Plain,9951751,5217567,30045605,89451800,5.83,33.59
non-city owned,Roslindale,16988283,19006356,24809486,59681287,31.85,41.57
city owned,Roslindale,5021661,5803130,24809486,59681287,9.72,41.57
non-city owned,Roxbury,10243048,16506272,21887649,52375444,31.52,41.79
city owned,Roxbury,2626638,5381377,21887649,52375444,10.27,41.79
city owned,Mattapan,3643765,3009198,19302504,47617782,6.32,40.54
non-city owned,Mattapan,14444808,16293306,19302504,47617782,34.22,40.54
non-city owned,Harbor Islands,3923972,11660109,17359260,30195299,38.62,57.49
city owned,Harbor Islands,5003116,5699151,17359260,30195299,18.87,57.49
city owned,Charlestown,1072883,3074498,15443001,29961557,10.26,51.54
non-city owned,Charlestown,2115783,12368503,15443001,29961557,41.28,51.54
non-city owned,Fenway/Longwood,2165924,5119377,7112861,24576320,20.83,28.94
city owned,Fenway/Longwood,2298336,1993484,7112861,24576320,8.11,28.94
city owned,Central Boston,532624,1199865,6867225,27494703,4.36,24.98
non-city owned,Central Boston,1893278,5667360,6867225,27494703,20.61,24.98
non-city owned,Back Bay/Beacon Hill,2407560,2808548,4614441,19742547,14.23,23.37
city owned,Back Bay/Beacon Hill,1769300,1805893,4614441,19742547,9.15,23.37
city owned,Mission Hill,1066416,766677,4402522,12279502,6.24,35.85
non-city owned,Mission Hill,2367414,3635845,4402522,12279502,29.61,35.85
city owned,South End,712359,1014211,4091203,13796533,7.35,29.65
non-city owned,South End,1512983,3076992,4091203,13796533,22.3,29.65
